mean_freq,min_freq,max_freq,count_freq,count_proj,band_min,band_max,band_mode,width
399.845,398.935,400.755,2,1,8,8,8.0,1.8199999999999932
101.1077108433735,85.045,115.125,249,38,3,3,3.0,30.08
144.955,128.64,161.73,73,16,4,4,4.0,33.09
242.02364197530866,217.995,270.76,81,15,6,6,6.0,52.764999999999986
307.7238,289.005,345.755,25,7,7,7,7.0,56.75
464.03499999999997,441.525,482.285,26,5,8,8,8.0,40.76000000000005
151.59,150.51,153.46,4,1,4,4,4.0,2.950000000000017
140.68125,139.76,141.84,4,1,4,4,4.0,2.0800000000000125
358.076,355.295,360.16,5,2,7,7,7.0,4.865000000000009
306.3075,305.365,308.425,4,2,7,7,7.0,3.0600000000000023
217.66882352941175,214.375,221.885,17,6,6,6,6.0,7.509999999999991
111.3192391304348,107.75,115.18,46,15,3,3,3.0,7.430000000000007
318.755,317.905,319.605,2,1,7,7,7.0,1.7000000000000455
243.50295454545457,237.925,247.335,22,8,6,6,6.0,9.409999999999997
93.68056962025317,84.53,102.9,79,12,3,3,3.0,18.370000000000005
236.3902,224.865,262.005,50,17,6,6,6.0,37.139999999999986
345.89819444444447,330.305,372.865,36,11,7,7,7.0,42.56
675.76,674.01,677.51,2,1,9,9,9.0,3.5
689.87,688.27,691.47,2,1,9,9,9.0,3.2000000000000455
411.03,410.05,412.01,2,1,8,8,8.0,1.9599999999999795
266.71500000000003,265.88,267.55,2,1,6,6,6.0,1.670000000000016
93.525,90.6,97.615,8,4,3,3,3.0,7.015000000000001
399.0,398.05,399.95,2,1,8,8,8.0,1.8999999999999773
489.75875,489.74,489.8,4,1,8,8,8.0,0.060000000000002274
106.76833333333333,102.6,110.2,12,5,3,3,3.0,7.6000000000000085
225.42038235294115,212.53,255.55,170,43,6,6,6.0,43.02000000000001
341.0039383561644,329.32,357.895,146,41,7,7,7.0,28.57499999999999
492.90769230769234,492.15,494.115,13,2,8,8,8.0,1.9650000000000318
334.5783333333333,331.13,338.375,6,3,7,7,7.0,7.2450000000000045
260.17,259.005,261.255,3,1,6,6,6.0,2.25
151.01625,150.025,152.025,4,1,4,4,4.0,2.0
136.59291666666667,128.545,142.355,12,2,4,4,4.0,13.810000000000002
356.42357142857145,355.22,357.99,7,3,7,7,7.0,2.769999999999982
